,cm,k_val
0,0.04504504504504504,1.0
1,0.2766295707472178,2.0
2,0.3375728669846317,4.0
3,0.3778484366719661,6.0
4,0.40328563857975624,8.0
5,0.4149443561208267,10.0
6,0.4356120826709062,12.0
7,0.4419713831478537,14.0
8,0.4467408585055644,16.0
9,0.45045045045045046,18.0
10,0.45045045045045046,20.0
11,0.46846846846846846,35.0
12,0.48701642819289875,50.0
13,0.4954954954954955,65.0
14,0.4954954954954955,80.0
15,0.5002649708532061,95.0
16,0.5241123476417594,110.0
17,0.5241123476417594,125.0
18,0.5246422893481717,140.0
19,0.5246422893481717,155.0
20,0.5151033386327504,170.0
21,0.530471648118707,185.0
22,0.530471648118707,200.0
23,0.530471648118707,215.0
24,0.530471648118707,230.0
25,0.530471648118707,245.0
26,0.5098039215686274,260.0
27,0.530471648118707,275.0
28,0.530471648118707,290.0
29,0.530471648118707,305.0
30,0.530471648118707,320.0
31,0.530471648118707,335.0
32,0.530471648118707,350.0
33,0.5368309485956545,365.0
34,0.5368309485956545,380.0
35,0.5368309485956545,395.0
36,0.5368309485956545,410.0
37,0.5368309485956545,425.0
38,0.5808161102278749,440.0
39,0.5887652358240594,455.0
40,0.5887652358240594,470.0
41,0.5887652358240594,485.0
42,0.5887652358240594,500.0
43,0.5887652358240594,515.0
44,0.5887652358240594,530.0
45,0.5887652358240594,545.0
46,0.5887652358240594,560.0
47,0.5887652358240594,575.0
48,0.5887652358240594,590.0
49,0.5887652358240594,605.0
50,0.5887652358240594,620.0
51,0.5887652358240594,635.0
52,0.5887652358240594,650.0
53,0.5887652358240594,665.0
54,0.5887652358240594,680.0
55,0.5887652358240594,695.0
56,0.5887652358240594,710.0
57,0.5887652358240594,725.0
58,0.6666666666666666,1887.0
