,dm,k_val
0,1.0,1.0
1,0.8888888888888888,2.0
2,0.8333333333333334,4.0
3,0.7777777777777778,6.0
4,0.7777777777777778,8.0
5,0.7777777777777778,10.0
6,0.7777777777777778,12.0
7,0.7777777777777778,14.0
8,0.7777777777777778,16.0
9,0.6666666666666666,18.0
10,0.6666666666666666,20.0
11,0.5555555555555556,35.0
12,0.5,50.0
13,0.5,65.0
14,0.4444444444444444,80.0
15,0.4444444444444444,95.0
16,0.4444444444444444,110.0
17,0.3888888888888889,125.0
18,0.3888888888888889,140.0
19,0.3333333333333333,155.0
20,0.3333333333333333,170.0
21,0.2777777777777778,185.0
22,0.2777777777777778,200.0
23,0.2777777777777778,215.0
24,0.2777777777777778,230.0
25,0.2777777777777778,245.0
26,0.2777777777777778,260.0
27,0.2222222222222222,275.0
28,0.2222222222222222,290.0
29,0.2222222222222222,305.0
30,0.2222222222222222,320.0
31,0.2222222222222222,335.0
32,0.2222222222222222,350.0
33,0.2222222222222222,365.0
34,0.2222222222222222,380.0
35,0.2222222222222222,395.0
36,0.2222222222222222,410.0
37,0.2222222222222222,425.0
38,0.16666666666666666,440.0
39,0.1111111111111111,455.0
40,0.1111111111111111,470.0
41,0.1111111111111111,485.0
42,0.1111111111111111,500.0
43,0.1111111111111111,515.0
44,0.1111111111111111,530.0
45,0.1111111111111111,545.0
46,0.1111111111111111,560.0
47,0.1111111111111111,575.0
48,0.1111111111111111,590.0
49,0.1111111111111111,605.0
50,0.1111111111111111,620.0
51,0.1111111111111111,635.0
52,0.1111111111111111,650.0
53,0.1111111111111111,665.0
54,0.1111111111111111,680.0
55,0.1111111111111111,695.0
56,0.1111111111111111,710.0
57,0.1111111111111111,725.0
58,0.0,1887.0
